"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LFT_00278",169.588957578154,0.054429433930083,0.310643685414495,0.175215001899869,0.860910696867221,0.923812354351324
"LFT_02480",168.638947724934,0.0560437191851639,0.265963981862287,0.210719206385557,0.833106386570537,0.906837114212952
"LFT_02230",87.0918740492521,0.0562492874849807,0.321857276785892,0.174764690880049,0.861264533888473,0.923812354351324
"LFT_02441",94.5958876812163,0.0567802215841654,0.30160993226363,0.18825713449826,0.850675086211867,0.915867733064374
"LFT_00860",132.161518271167,0.0570194455044252,0.312376268072136,0.182534498719531,0.855163283045672,0.919291098712969
"LFT_00061",109.184021702175,0.0578382234922938,0.274249835163363,0.210896110321602,0.832968339383366,0.906837114212952
"LFT_00100",108.44399229286,0.0584058787490881,0.265505643517114,0.219979801466342,0.825886885508379,0.902549928243911
"LFT_02162",128.442798306906,0.0588594440064372,0.27506397422442,0.213984561854744,0.830559096208157,0.905625287453817
"LFT_00799",651.810204421716,0.0590867938844267,0.167524284589067,0.35270584219694,0.724308979065663,0.843757639571234
"LFT_00516",316.001573396499,0.0597213839599607,0.198190669904548,0.301332973891877,0.763160599191811,0.868676180046819
"LFT_01716",103.937887679379,0.0606140601846746,0.309479009222466,0.195858389029231,0.844721007155845,0.91222081856151
"LFT_00920",788.12056083019,0.0610994507527495,0.197298310917669,0.309680556658419,0.756803889934814,0.866289844890156
"LFT_01952",675.83464732286,0.0619267098992606,0.162444994532487,0.381216485478573,0.703042617446985,0.826889410578331
"LFT_01051",253.701468218078,0.062540475571567,0.27785075462592,0.225086578065147,0.821911922242184,0.900291086818377
"LFT_02609",300.563354966449,0.0630040336732531,0.233248109477887,0.27011594569527,0.787071055040906,0.879455369617006
"LFT_00566",426.176496434755,0.0634987105906927,0.187837893888923,0.338050588600842,0.735325065288372,0.851704935412435
"LFT_02004",321.489900006373,0.0635021528521806,0.219588327855,0.289187287286566,0.772438059717819,0.870689894325774
"LFT_02054",36.0896435890444,0.0644198908933534,0.432558354052074,0.148927630896242,0.881610738040295,0.935751467162107
"LFT_00226",630.719257252902,0.0646165856520694,0.214747362655036,0.300895828722552,0.763493931206362,0.868676180046819
"LFT_00604",658.661457143393,0.0650084216172843,0.18109811978117,0.358967954475934,0.719619062351288,0.841108707410114
"LFT_00526",779.171400257405,0.0655168455022244,0.247728521267572,0.264470336992241,0.791417518970418,0.881482858195114
"LFT_02326",2313.15881175412,0.0663433643953102,0.187327171567399,0.354157722236469,0.723220685586715,0.843757639571234
"LFT_00820",181.791573764251,0.0664030431655022,0.226860154297797,0.292704743021269,0.769747844198184,0.869550840143653
"LFT_00568",951.15940287791,0.0668306112201473,0.164923462625784,0.405221974824697,0.685314353580637,0.819642773527899
"LFT_02425",10.9749167783813,0.066914680176331,0.7686982049469,0.0870493514173788,0.93063228419844,0.965760601431717
"LFT_01482",44.326798256719,0.0675096909012665,0.406099121616077,0.166239440835555,0.867968521956219,0.926605792303126
"LFT_00296",663.169031098146,0.0678563373070865,0.187522331576588,0.361857367795005,0.717458619597577,0.838985919366265
"LFT_00152",172.640750196975,0.0680005070668509,0.250401075006238,0.27156635435833,0.785955472802898,0.879014909233897
"LFT_00209",2405.18477476199,0.0692386929732372,0.178060005359541,0.388850336342681,0.697386862317009,0.823185851678064
"LFT_01086",1136.3247998489,0.0698801305170548,0.164872204274313,0.423844218160562,0.671679427686162,0.811952865928821
"LFT_02035",645.082989743783,0.0726699494120862,0.167068831608697,0.434970118078586,0.663584117546146,0.808842300403431
"LFT_00549",161.728456548431,0.0733635682584313,0.246501124560961,0.297619608791229,0.76599350677995,0.868676180046819
"LFT_02311",936.424675298628,0.0734214448731797,0.185880232319226,0.39499329195526,0.692847838553793,0.82044226557609
"LFT_01194",292.743766431932,0.0735586119178901,0.218561084810833,0.336558596337293,0.736449672340434,0.85184562695057
"LFT_00686",9025.02136285285,0.0741937971134579,0.136390229582318,0.543981759842103,0.586454024737696,0.759965144874657
"LFT_01192",6.40769379307734,0.0757654479511289,0.91250651817711,0.0830300347908566,0.933827657752036,0.96593293800582
"LFT_00728",1850.10338243186,0.0760664310005006,0.148736702731805,0.511416681985077,0.609059316198768,0.776384284679786
"LFT_00090",1096.83587339435,0.0767368415596234,0.153386018571914,0.500285764465852,0.616873876308993,0.782165263561403
"LFT_02115",1082.13403178218,0.0773171951438812,0.17923064049358,0.431383802071782,0.66618932567078,0.808842300403431
"LFT_00637",21.9426962115882,0.0780135864339649,0.539250622273037,0.144670368863227,0.884971135214725,0.936463159582408
"LFT_00416",373.177398390654,0.0784612821456342,0.248570041414082,0.315650597711931,0.752267728162342,0.863531066194832
"LFT_00872",289.527117205295,0.0797993806584917,0.292005013015112,0.273280858552801,0.784637328175312,0.878346885054311
"LFT_01645",13.1131962625425,0.0800748433278369,0.646073966252255,0.123940674768765,0.901362247408513,0.946003357852948
"LFT_00348",336.742406434844,0.080856453944211,0.229090048353357,0.352946164730364,0.724128800667445,0.843757639571234
"LFT_01887",649.053283335556,0.0810930988111741,0.16750351782864,0.484127735717971,0.628295218466656,0.789803058498914
"LFT_00230",170.69080916518,0.0811483212628187,0.268992048559992,0.301675539099516,0.762899416988324,0.868676180046819
"LFT_00969",159.469999237351,0.0812304712276951,0.259269484755167,0.313305174746664,0.754048819032457,0.864354173086593
"LFT_00317",512.532529475314,0.0821824653554422,0.191077268044802,0.430100692753116,0.667122396129194,0.808844417595446
"LFT_00903",136.644386552671,0.0824428048651626,0.254826993701161,0.323524614357945,0.7462979694167,0.858295493850165
"LFT_02368",10.4185564091997,0.0843755561947916,0.805212169320927,0.104786737470634,0.916545034073372,0.957402592386115
"LFT_01540",2.34508781887984,0.0844931937043095,1.54688070136789,0.054621661275878,0.956439881315716,NA
"LFT_00764",4.15777493059249,0.0850673189957686,1.13056744852452,0.0752430287169405,0.94002134939973,NA
"LFT_02121",35.3546869993943,0.0850744819979544,0.424853692650894,0.200244186338898,0.841289611219365,0.912046886496079
"LFT_01409",110.259402889807,0.0851982022630415,0.306288890622271,0.278162887625303,0.780887322396104,0.87613305186462
"LFT_00141",79.5706607771749,0.0852411551101697,0.296890782168294,0.2871128382216,0.774025922359137,0.871673370050469
"LFT_00797",39.4480454001012,0.0854776280425676,0.388324503031753,0.22011906891072,0.825778424155552,0.902549928243911
"LFT_02638",125.245734246952,0.0857446242566591,0.288218221540436,0.297498970739535,0.766085593674357,0.868676180046819
"LFT_00667",432.490939496469,0.0869957310108068,0.207120565317389,0.42002459233102,0.674467488468172,0.813937997753393
"LFT_01298",32.9370024029969,0.0870270093404124,0.472453543592625,0.184202257599007,0.853854788478376,0.918289549656576
"LFT_02053",674.514948587921,0.0870545842241401,0.194091618693621,0.448523150098296,0.653775682538172,0.803560820194111
"LFT_01398",150.430640579202,0.0871429841993876,0.238607203990995,0.36521522712565,0.714950752608213,0.836454625111001
"LFT_01317",127.195813344908,0.0878565773452036,0.25049271184971,0.350735064092067,0.725787117244868,0.844499607780506
"LFT_00177",1134.64615705925,0.0882230531566573,0.174170383158958,0.506533037113089,0.612482503403441,0.77854125842328
"LFT_02277",256.842729768002,0.0886012928201775,0.219542990517468,0.403571494636846,0.68652785080805,0.819642773527899
"LFT_01718",28.4301439104599,0.0886423892660148,0.498619782464975,0.177775516301825,0.858899276202015,0.922087020310269
"LFT_01399",54.8740851132572,0.088925840143594,0.358687088568041,0.24792038235501,0.804196009290345,0.890445020163119
"LFT_00113",188.318994146619,0.0894669492444556,0.224654634534069,0.398242170387488,0.690451683711721,0.820291710389803
"LFT_00174",596.92275634197,0.0894855740892331,0.18742820495104,0.477439209923652,0.633049398939858,0.79236845671106
"LFT_00154",1060.52680363785,0.0897863399402398,0.152838154702783,0.587460245871477,0.556894642249717,0.733992559849952
"LFT_00641",3.13413535934649,0.0905087518329414,1.26381326394498,0.0716156052599254,0.942907820763013,NA
"LFT_02600",327.794444318561,0.0910812379206804,0.217726716704629,0.418328257088644,0.675707132534761,0.814793806030289
"LFT_02294",27.8414583670836,0.0914379922832476,0.461110319768306,0.198299600688166,0.842810664090755,0.912046886496079
"LFT_00271",1398.93455361958,0.0916898394435586,0.210783029760292,0.434996306618377,0.663565108302809,0.808842300403431
"LFT_00790",405.901516699033,0.0930730429831766,0.207266061488181,0.44905105213515,0.65339482917128,0.803560820194111
"LFT_00031",194.208451508089,0.0931219416160439,0.23233669741199,0.400805996871497,0.688562963367301,0.819642773527899
"LFT_02113",171.332924812226,0.0944496182275398,0.310301139442441,0.304380507262235,0.760838016662862,0.868053486239417
"LFT_00580",801.442353094748,0.0945543192399204,0.168514933338307,0.561103502026703,0.574726980931351,0.749791034544809
"LFT_01099",630.749395739219,0.0963515530964538,0.162249254922817,0.593848971092588,0.552613131786405,0.730720673989945
"LFT_01393",657.026992475995,0.0965656683536021,0.160864481212341,0.600292044743771,0.54831161956684,0.725820432854095
"LFT_01410",153.532529133819,0.0966880383620144,0.235986161374076,0.40971910301447,0.682012015134532,0.817944527993531
"LFT_00842",146.557243688751,0.0986143210598298,0.267555584658438,0.368575080149125,0.712444472955683,0.834810551044555
"LFT_00127",801.630029893892,0.0987415697022571,0.185803567997423,0.53142988999881,0.595120913276852,0.765334915913292
"LFT_01659",605.722284454774,0.0988478801142601,0.213118801243373,0.463815860156701,0.642779679242415,0.798396574064101
"LFT_00205",1304.10580288871,0.100313302129947,0.165978585192143,0.604374968094955,0.545594374245085,0.724737186660882
"LFT_01870",616.16622162121,0.10062661879925,0.177044655217849,0.568368577269001,0.569784722465362,0.745738651261057
"LFT_02598",82.9060304364622,0.100688742452223,0.335097131258604,0.30047628899132,0.763813879954224,0.868676180046819
"LFT_00772",471.966552193781,0.102739487197626,0.173668393858236,0.591584253848118,0.554129020583426,0.731534357075737
"LFT_00402",189.066491065027,0.102869563862294,0.274937130428851,0.374156679753791,0.708287751621506,0.831854096723668
"LFT_01861",3579.88198715158,0.104261348572854,0.168113029343462,0.620186008068673,0.535135332254289,0.717048387143849
"LFT_02252",548.395134126246,0.104345410302117,0.241493410583702,0.432083881915904,0.665680448859016,0.808842300403431
"LFT_02400",2345.77063437917,0.104418767594514,0.162650501246297,0.641982451910158,0.520884576891398,0.705219841046853
"LFT_02566",1586.023575171,0.104606324000655,0.168822514123847,0.619623067121941,0.535505976447192,0.717048387143849
"LFT_01902",1334.11717179,0.104913186719335,0.146577235329731,0.71575361947119,0.474143495745237,0.669070325911269
"LFT_01773",1733.24483390657,0.105627885479249,0.149912987485997,0.704594626860569,0.481062543262099,0.675597644863592
